Filename,Species,Dominant_Frequency_Hz,Spectral_Bandwidth,Spectral_Flatness,RMS_Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
Andean Guan10.mp3,Andean Guan_sound,259.70943921232873,4720.414774593301,0.004344265,0.057085946,-268.28247,87.95286,0.033651706,35.83914,4.1045966,22.73985,-8.216788,15.472616,-1.3741988,15.167897,-5.974109,7.285379,2.2031882,0.6412777,0.69476384,0.7320518,0.7658331,0.80306107,0.7739703,0.706686,0.66227406,0.6129572,0.599163,0.58533823,0.571126
Andean Guan11.mp3,Andean Guan_sound,1274.7999359795135,3029.224240605189,0.002953065,0.05348387,-271.76315,114.11947,-57.55727,-20.89919,-22.827383,3.2940104,-1.2344517,3.83408,-2.1694224,-9.216484,-2.3194861,0.16515544,1.2180278,0.29125518,0.3493174,0.4559413,0.5546132,0.6258971,0.55500674,0.4412704,0.33298844,0.28381515,0.259724,0.26329243,0.2795135
Andean Guan12.mp3,Andean Guan_sound,1416.1501881270904,4502.285979604584,0.050505497,0.06068093,-273.34885,44.64976,-77.64312,-44.105427,-37.12235,-0.87521464,-0.9292683,7.750466,-8.118941,-4.4423776,-2.8820703,11.483961,9.53577,0.22169064,0.23416469,0.33597,0.46487507,0.49961615,0.5418605,0.52363026,0.43001273,0.34804893,0.29913524,0.27102667,0.24201573
Andean Guan13.mp3,Andean Guan_sound,1504.3060274133086,2943.815593707055,0.00054202386,0.15827677,-137.9563,120.00418,-68.1307,4.667792,-25.476234,2.4442484,-9.991802,0.88360643,-19.09841,-13.03602,-10.7538595,0.46281564,-0.50502497,0.3148051,0.3023499,0.29721153,0.3236802,0.41278133,0.6066733,0.68037987,0.47826982,0.33365133,0.31312808,0.32220495,0.3033823
Andean Guan14.mp3,Andean Guan_sound,1239.44326978211,3042.171538697569,0.0010537691,0.08586933,-194.26134,130.2996,-46.30717,7.3766484,-26.935045,2.0446105,3.6826282,8.288816,-3.1820734,-10.13599,-11.419849,-8.4700775,-3.0664933,0.42272797,0.51083744,0.60508204,0.6515882,0.630105,0.53915405,0.41323775,0.37014014,0.36255246,0.3625998,0.34865516,0.3669005
Andean Guan15.mp3,Andean Guan_sound,1239.44326978211,3042.171538697569,0.0010537691,0.08586933,-194.26134,130.2996,-46.30717,7.3766484,-26.935045,2.0446105,3.6826282,8.288816,-3.1820734,-10.13599,-11.419849,-8.4700775,-3.0664933,0.42272797,0.51083744,0.60508204,0.6515882,0.630105,0.53915405,0.41323775,0.37014014,0.36255246,0.3625998,0.34865516,0.3669005
Andean Guan16.mp3,Andean Guan_sound,1300.0510155656796,1887.9747116212175,4.2248885e-06,0.062392384,-233.5033,176.599,-22.741854,-10.083276,-12.60318,3.1437101,3.8627188,2.6805327,1.1017172,-12.614187,-0.37285718,-1.4429873,5.226105,0.4693719,0.5038374,0.5452797,0.5854524,0.63499594,0.71084285,0.5945341,0.46808282,0.41495675,0.38880417,0.39978668,0.43610263
Andean Guan17.mp3,Andean Guan_sound,1530.5738636363635,2187.0618808049812,9.838214e-06,0.04241358,-261.96747,126.64349,-62.221752,22.98577,11.47028,12.874627,19.845116,3.4472013,3.6869724,-12.095268,-4.435638,3.330496,6.39365,0.26492125,0.30589914,0.33191797,0.38174254,0.47292343,0.565858,0.5342061,0.4338577,0.34491122,0.28901687,0.26437467,0.23439972
Andean Guan18.mp3,Andean Guan_sound,1608.1538904577885,2657.3100426086603,0.000350915,0.07340486,-180.07962,142.2184,-64.52011,48.749153,-8.237315,20.307373,3.3796337,-5.7428856,16.378418,-13.936821,11.585983,4.805769,11.53318,0.3113709,0.328066,0.360675,0.40745082,0.4876649,0.57929856,0.7004774,0.6708144,0.53102785,0.4192806,0.33101976,0.29835454
Andean Guan19.mp3,Andean Guan_sound,1333.45785291659,3463.2664128078864,0.00035561278,0.054613207,-251.31317,112.491135,-47.595367,-13.169564,-26.091732,32.343548,-9.513806,16.305923,15.386913,6.090437,1.1372204,8.297933,8.76929,0.16312677,0.2598238,0.44367054,0.5038119,0.49107057,0.441741,0.3854461,0.26925173,0.24714147,0.22742662,0.20533182,0.16038974
Andean Guan2.mp3,Andean Guan_sound,1617.8876426507322,5118.64859830041,0.03704631,0.012323511,-364.27908,70.15044,-25.23203,-14.6182375,-20.391733,21.106981,2.6735334,14.351246,-5.879531,2.3531866,-5.2205796,1.5866923,-10.131762,0.4518361,0.4805207,0.5292105,0.5256161,0.4533309,0.43193513,0.47225463,0.5362746,0.497853,0.4221822,0.39256078,0.3949648
Andean Guan20.mp3,Andean Guan_sound,1259.2694800462527,3266.5250375871215,0.00027463835,0.0698428,-252.56747,138.62932,-46.818615,-22.401928,-32.721706,34.81629,-16.232628,14.769592,7.6988645,10.996858,1.0713661,13.3802,5.648736,0.31616536,0.41083542,0.55673814,0.60112584,0.5617163,0.544753,0.47515577,0.39038908,0.3844026,0.34405342,0.29306325,0.28914696
Andean Guan21.mp3,Andean Guan_sound,959.943349673251,3612.6871156232205,0.0004992725,0.03594926,-272.08264,142.15045,-30.100811,0.5058476,-18.532356,29.625763,-21.243055,22.35579,-1.36236,5.79733,5.2351494,10.11149,-3.7336116,0.57687414,0.5670345,0.5502077,0.5601525,0.549365,0.5405921,0.51433796,0.5182625,0.5545205,0.568357,0.62164515,0.5861057
Andean Guan22.mp3,Andean Guan_sound,959.943349673251,3612.6871156232205,0.0004992725,0.03594926,-272.08264,142.15045,-30.100811,0.5058476,-18.532356,29.625763,-21.243055,22.35579,-1.36236,5.79733,5.2351494,10.11149,-3.7336116,0.57687414,0.5670345,0.5502077,0.5601525,0.549365,0.5405921,0.51433796,0.5182625,0.5545205,0.568357,0.62164515,0.5861057
