,precision,recall,f1-score,support
Andean Guan_sound,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Andean Tinamou_sound,0.375,0.5,0.42857142857142855,6.0
Band-tailed Guan_sound,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Bartletts Tinamou_sound,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Black-capped Tinamou_sound,0.8,0.6666666666666666,0.7272727272727273,6.0
Blue-throated Piping Guan_sound,0.42857142857142855,0.5,0.46153846153846156,6.0
Brazilian Tinamou_sound,0.625,0.8333333333333334,0.7142857142857143,6.0
Cauca Guan_sound,0.75,0.5,0.6,6.0
Chaco Chachalaca_sound,1.0,1.0,1.0,6.0
Chestnut-winged Chachalaca_sound,1.0,0.8333333333333334,0.9090909090909091,6.0
Cinereous Tinamou_sound,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Colombian Chachalaca_sound,1.0,0.6666666666666666,0.8,6.0
Crested Guan_sound,0.8,0.6666666666666666,0.7272727272727273,6.0
Dusky Megapode_sound,1.0,0.8333333333333334,0.9090909090909091,6.0
Dusky-legged Guan_sound,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Dwarf Tinamou_sound,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Great Tinamou_sound,0.625,0.8333333333333334,0.7142857142857143,6.0
Grey Tinamou_sound,0.75,0.5,0.6,6.0
Grey-headed Chachalaca_sound,0.5,0.5,0.5,6.0
Highland Tinamou_sound,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
Little Chachalaca_sound,0.4,0.6666666666666666,0.5,6.0
Little Tinamou_sound,1.0,0.8333333333333334,0.9090909090909091,6.0
Orange-footed Scrubfowl_sound,0.75,1.0,0.8571428571428571,6.0
Pale-browed Tinamou_sound,0.2727272727272727,0.5,0.35294117647058826,6.0
Plain Chachalaca_sound,0.8571428571428571,1.0,0.9230769230769231,6.0
Red-legged Tinamou_sound,0.75,1.0,0.8571428571428571,6.0
Red-winged Tinamou_sound,0.8,0.6666666666666666,0.7272727272727273,6.0
Rufous-bellied Chachalaca_sound,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Rufous-headed Chachalaca_sound,1.0,0.5,0.6666666666666666,6.0
Rufous-vented Chachalaca_sound,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
Rusty-margined Guan_sound,0.5,0.3333333333333333,0.4,6.0
Small-billed Tinamou_sound,0.8571428571428571,1.0,0.9230769230769231,6.0
Solitary Tinamou_sound,0.5,0.3333333333333333,0.4,6.0
Speckled Chachalaca_sound,1.0,0.8333333333333334,0.9090909090909091,6.0
Spixs Guan_sound,1.0,0.6666666666666666,0.8,6.0
Tataupa Tinamou_sound,1.0,1.0,1.0,6.0
Tawny-breasted Tinamou_sound,0.8571428571428571,1.0,0.9230769230769231,6.0
Thicket Tinamou_sound,0.625,0.8333333333333334,0.7142857142857143,6.0
Undulated Tinamou_sound,0.75,1.0,0.8571428571428571,6.0
Variegated Tinamou_sound,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
West Mexican Chachalaca_sound,1.0,0.6666666666666666,0.8,6.0
White-bellied Nothura_sound,0.8,0.6666666666666666,0.7272727272727273,6.0
White-throated Tinamou_sound,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Yellow-legged Tinamou_sound,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
accuracy,0.7007575757575758,0.7007575757575758,0.7007575757575758,0.7007575757575758
macro avg,0.7323166732257643,0.7007575757575758,0.7001799893511123,264.0
weighted avg,0.7323166732257641,0.7007575757575758,0.7001799893511124,264.0
